time_ms	origin	dest
0.0	15453	1657
6000.0	29667	285
15000.0	27373	54964
19000.0	16177	14780
35000.0	25080	26454
38000.0	50723	51510
42000.0	49688	33860
48000.0	52453	16399
66000.0	22059	40772
81000.0	37105	50440
88000.0	48798	22817
91000.0	6019	9719
95000.0	41455	5619
102000.0	50346	36357
114000.0	38833	3979
121000.0	27823	24595
122000.0	23251	37955
125000.0	46266	28083
134000.0	19842	11980
138000.0	23214	327
138000.0	35949	47784
145000.0	3300	4818
147000.0	45223	38707
152000.0	14246	6494
157000.0	9422	9976
157000.0	43019	17637
162000.0	15214	45047
173000.0	17708	54490
174000.0	19858	39650
177000.0	35970	45300
181000.0	11179	2854
183000.0	4045	11584
188000.0	51241	36060
189000.0	13394	34241
195000.0	2616	39751
206000.0	48192	37886
215000.0	5615	6867
215000.0	31655	49952
218000.0	3370	3949
221000.0	53107	54586
222000.0	7754	9335
235000.0	49571	49952
246000.0	29985	28390
247000.0	2595	42558
254000.0	44723	7726
257000.0	48923	37998
260000.0	24811	27218
261000.0	18872	10520
276000.0	7118	36186
280000.0	42018	42025
293000.0	16008	17898
295000.0	51852	52220
297000.0	12551	30172
298000.0	11111	46624
299000.0	34117	24824
300000.0	23133	20262
308000.0	13692	43267
311000.0	1535	50971
313000.0	31337	41011
313000.0	51000	36062
323000.0	9886	34820
323000.0	37896	13562
332000.0	45344	37217
336000.0	43424	53063
345000.0	40937	41404
346000.0	22737	9765
348000.0	20632	17665
354000.0	14631	41351
366000.0	43129	42994
382000.0	15455	17574
388000.0	9931	33595
389000.0	6662	47483
391000.0	34982	39589
392000.0	38429	44178
392000.0	4102	4786
396000.0	24843	3945
396000.0	27326	4860
397000.0	21657	36912
409000.0	27400	48736
429000.0	52009	29737
434000.0	22442	42564
436000.0	47990	24019
447000.0	26374	4876
454000.0	12084	50810
458000.0	2183	11681
463000.0	33090	20108
467000.0	50666	16201
472000.0	14500	43545
484000.0	42257	30822
489000.0	23269	23689
493000.0	27411	38586
499000.0	18717	35948
507000.0	8762	51140
519000.0	53899	26525
523000.0	21640	19176
535000.0	9135	54893
536000.0	2629	203
544000.0	41831	40866
549000.0	6142	53516
556000.0	48914	36074
571000.0	39113	39906
571000.0	7215	9995
571000.0	15134	38306
585000.0	38656	9564
600000.0	43677	3906
614000.0	49692	19489
618000.0	8129	8112
619000.0	36905	21073
626000.0	31210	32348
641000.0	5853	13461
643000.0	36814	31282
644000.0	48443	34150
647000.0	40354	45142
649000.0	18811	36256
660000.0	28599	52408
660000.0	51770	15303
661000.0	3078	8747
661000.0	14964	49972
665000.0	25992	594
670000.0	15727	54799
672000.0	42763	32175
672000.0	18531	1656
687000.0	44669	25389
688000.0	39353	28774
689000.0	13375	54805
693000.0	38212	51470
695000.0	41041	29115
698000.0	40667	37206
707000.0	19023	2059
712000.0	44202	25834
713000.0	26632	8754
715000.0	19402	42726
727000.0	49635	31979
731000.0	47518	47833
733000.0	45680	36301
751000.0	7014	31807
752000.0	9885	8544
758000.0	25758	44100
775000.0	44043	51294
775000.0	14504	25292
777000.0	823	25076
784000.0	32954	19917
785000.0	6500	8429
790000.0	53398	27329
802000.0	11026	10567
808000.0	36322	22892
810000.0	37886	8496
815000.0	15329	31281
818000.0	19746	31702
822000.0	13841	43780
831000.0	10736	30325
839000.0	21650	29052
844000.0	35321	48965
844000.0	35228	29788
849000.0	20944	2420
856000.0	42273	52459
863000.0	23364	31487
864000.0	3417	47738
876000.0	38831	28079
877000.0	19511	26812
884000.0	9727	10673
884000.0	48647	50376
888000.0	54767	36340
896000.0	38400	33840
908000.0	10876	22507
910000.0	36940	50270
914000.0	3179	17292
915000.0	54040	30167
918000.0	32063	5084
921000.0	15324	20388
921000.0	2326	25998
925000.0	49702	6988
926000.0	47197	45047
928000.0	53754	14860
942000.0	890	4718
955000.0	47016	5575
962000.0	14530	6996
964000.0	49385	39371
967000.0	46528	17921
975000.0	44209	11789
1000000.0	14300	392
1001000.0	36329	40065
1002000.0	13394	43792
1014000.0	48829	15221
1020000.0	48347	36060
1020000.0	48636	18596
1021000.0	8110	8926
1028000.0	22561	28153
1028000.0	920	47565
1034000.0	42780	32166
1034000.0	5104	32620
1050000.0	34468	53448
1068000.0	53154	43830
1087000.0	42311	33511
1089000.0	46860	15611
1089000.0	2943	6455
1092000.0	15129	37707
1093000.0	38396	1188
1096000.0	12390	24719
1104000.0	39635	735
1104000.0	50534	8541
1113000.0	8967	44288
1121000.0	54428	35220
1129000.0	46384	36060
1141000.0	31158	30043
1155000.0	21165	20531
1160000.0	8768	41347
1168000.0	2920	7896
1177000.0	15896	9771
1177000.0	43278	40073
1180000.0	13505	22883
1182000.0	31751	9165
1183000.0	30759	1961
1192000.0	51237	44543
1194000.0	32678	21214
1196000.0	51953	24420
1208000.0	4998	36047
1230000.0	19746	35086
1238000.0	23255	5576
1244000.0	31301	33553
1264000.0	6043	15583
1286000.0	42260	10058
1292000.0	52459	36060
1294000.0	17929	19215
1303000.0	47403	51240
1308000.0	4575	22311
1311000.0	46535	21732
1311000.0	145	15217
1320000.0	7599	35930
1333000.0	35353	51828
1341000.0	40316	47646
1342000.0	51020	6455
1349000.0	41545	4354
1369000.0	18642	2446
1370000.0	13417	8544
1380000.0	31224	30700
1383000.0	50015	9271
1384000.0	23574	36593
1384000.0	45030	17539
1390000.0	19777	6673
1397000.0	39964	20741
1404000.0	42451	15326
1409000.0	37860	34914
1417000.0	19863	54044
1432000.0	36194	8752
1434000.0	47088	18588
1447000.0	47459	279
1452000.0	37900	51328
1453000.0	20637	11201
1460000.0	34239	41157
1463000.0	25869	36188
1467000.0	21549	26631
1468000.0	34917	36836
1473000.0	47345	45540
1476000.0	3745	47673
1476000.0	51005	54770
1479000.0	4681	20062
1486000.0	17112	10788
1505000.0	37054	2581
1511000.0	6512	18684
1513000.0	39752	14124
1517000.0	38812	32768
1525000.0	23553	32604
1528000.0	39298	5925
1536000.0	40728	18492
1541000.0	39752	13751
1544000.0	36151	8544
1556000.0	29699	52135
1574000.0	6860	21603
1577000.0	6099	1809
1584000.0	52622	9542
1592000.0	53470	36036
1608000.0	42156	47858
1613000.0	48187	47881
1615000.0	5591	48968
1622000.0	2718	20000
1622000.0	54191	19184
1624000.0	1918	50961
1632000.0	36560	30853
1633000.0	1327	16450
1636000.0	3747	4134
1648000.0	36304	40569
1653000.0	10129	32208
1656000.0	17792	50810
