time_ms	origin	dest
6000.0	407	3482
16000.0	1778	3179
19000.0	2340	1502
20000.0	312	4474
23000.0	2649	4387
24000.0	2977	2133
28000.0	946	3737
31000.0	3882	2756
37000.0	981	2677
58000.0	1545	923
58000.0	4288	4341
71000.0	4494	4279
76000.0	1944	3278
77000.0	3507	1461
83000.0	4454	3072
83000.0	1285	2449
86000.0	295	1942
93000.0	2912	1731
93000.0	728	1966
108000.0	3150	3383
108000.0	3204	3883
111000.0	4389	3676
113000.0	3566	4330
115000.0	1502	1103
118000.0	1697	3911
128000.0	4345	2140
148000.0	4095	257
155000.0	262	3049
171000.0	1902	4474
172000.0	212	1347
177000.0	2193	59
179000.0	26	677
186000.0	4297	1443
188000.0	2651	929
190000.0	4324	2381
191000.0	2784	1966
197000.0	979	2709
200000.0	4387	1986
200000.0	1772	1510
204000.0	3132	3911
214000.0	4218	3444
222000.0	4528	1386
225000.0	2081	3911
230000.0	2717	4387
230000.0	2045	3475
254000.0	282	4528
257000.0	2001	4495
265000.0	711	3427
268000.0	2598	235
273000.0	945	3339
279000.0	462	372
289000.0	2730	1978
305000.0	1881	3029
312000.0	4093	4474
313000.0	803	1374
318000.0	2888	519
340000.0	1257	1325
346000.0	1809	1990
347000.0	3658	2121
348000.0	188	3207
349000.0	1101	3269
357000.0	984	1900
357000.0	3280	4382
385000.0	3987	1103
385000.0	1046	3322
386000.0	4017	3728
395000.0	4485	4553
396000.0	3551	2994
399000.0	1199	3377
401000.0	28	1990
403000.0	3029	2535
404000.0	1454	3693
405000.0	538	1347
409000.0	1976	2405
424000.0	370	1463
440000.0	2210	2359
441000.0	2607	2320
457000.0	4512	1086
462000.0	3764	2018
464000.0	2572	2354
470000.0	3854	3716
474000.0	816	3505
475000.0	1911	137
477000.0	1878	1821
479000.0	3793	950
481000.0	872	1780
484000.0	1680	2992
505000.0	4285	3382
514000.0	3829	1262
517000.0	3916	1508
535000.0	1310	1918
539000.0	245	2952
541000.0	3356	2437
569000.0	4461	3322
582000.0	464	246
590000.0	3167	2123
598000.0	2794	3571
611000.0	3621	2661
613000.0	1248	1918
622000.0	3780	2437
625000.0	3061	4341
640000.0	4268	3440
642000.0	2604	4356
651000.0	3405	4485
662000.0	4268	4414
671000.0	3724	4356
675000.0	2337	857
676000.0	538	4416
677000.0	4379	2536
685000.0	4203	2271
688000.0	4127	2480
697000.0	3635	3362
701000.0	2287	2638
704000.0	1446	2046
704000.0	2166	2139
